,n,t,r,sigma,r_fit,rep,const,loss_true,max_qnorm_ub_true,loss_fit,max_qnorm_ub_fit,gen_err_fit
0,10,3,3,0.1,1,0,1,0.1932852712957819,29.20789986506517,0.6844954367896131,28.80497541886595,1.9507329077170095
1,10,3,3,0.1,1,0,5,0.05069860924886331,17.090578519595557,0.8906584319726114,7.7574961614465945,0.794721099804203
2,10,3,3,0.1,1,0,10,0.37128107733641363,17.268511657392335,1.6573732117693603,8.477452373052234,0.8171942211035189
3,10,3,3,0.1,1,0,20,0.06684831151762337,28.809468993818736,0.9334276868281208,15.612976146768045,0.5963790938394988
4,10,3,3,0.1,1,0,40,0.043078634232870255,13.628761353473632,0.9220900660398963,4.380015654588985,0.7503230053189813
5,10,3,3,0.1,1,0,80,0.3085276038038945,17.166939005263373,1.125907776206244,5.6584561671211775,0.7295729263689155
6,10,3,3,0.1,1,1,1,0.166710630004594,12.483500101680066,0.9406397782013585,66.76733147618808,3.56767666831674
7,10,3,3,0.1,1,1,5,0.3513132302373108,18.473058242295775,1.185868393049864,4.321612416817256,0.8432853102398353
8,10,3,3,0.1,1,1,10,0.03502797367786353,24.190606901093336,1.2295396008139001,11.804183982673576,0.709612089045822
9,10,3,3,0.1,1,1,20,0.230512208078314,20.25571284325528,1.291948822359647,11.253600391339377,0.764689077480892
10,10,3,3,0.1,1,1,40,0.23291592721504434,36.74931038951654,1.1878425330536309,16.676132772488554,0.44764164774220105
11,10,3,3,0.1,1,1,80,0.15219964361183147,18.290691794570094,0.9559285979264946,6.974000868769552,0.7190772987564495
12,10,3,3,0.1,1,2,1,0.035332720182312254,33.68376894093704,1.7289954151365818,291.16904322271836,8.082718916778088
13,10,3,3,0.1,1,2,5,0.09427863103305395,21.073375951481772,1.0935517088935878,12.347282761604529,0.5567673599316776
14,10,3,3,0.1,1,2,10,0.5511715896688818,17.937593789379452,1.4440729650707411,6.000663158369098,0.7438392988954936
15,10,3,3,0.1,1,2,20,0.030305392979031984,12.781124085669909,0.8972583155028457,3.0333372820220967,0.7939212396800268
16,10,3,3,0.1,1,2,40,0.3971613462643258,24.268781609317237,1.106062894226087,12.8096136997166,0.5037840480816508
17,10,3,3,0.1,1,2,80,0.31544255683648814,16.68213288625652,1.2014210665166334,7.163749943438277,0.6942604890575064
18,10,3,3,0.1,1,3,1,0.1170334960454898,27.260515666407727,1.6682703495213902,358.92191580216036,7.609230851916269
19,10,3,3,0.1,1,3,5,0.11486008406841203,12.04746808230717,0.7685932711306408,6.309270396103715,0.7330485673384017
20,10,3,3,0.1,1,3,10,0.09214705235910212,16.91179506762672,0.941656653193527,8.003206490931381,0.5101430301144378
21,10,3,3,0.1,1,3,20,0.24449775749251038,22.629004183161722,1.6198966099002154,7.814327838936069,0.7500849846964599
22,10,3,3,0.1,1,3,40,0.011525112968596422,23.610021828123497,1.2256837465555683,11.055854046565035,0.643790573096561
23,10,3,3,0.1,1,3,80,0.006563817037577937,16.72277158112166,1.0367342319714645,9.128189915161332,0.6552573118888326
24,10,3,3,0.1,1,4,1,0.06278838990895355,24.440702829270435,1.0868115606871254,183.7991731922014,10.33337040497068
25,10,3,3,0.1,1,4,5,0.10719441173952883,28.60167462577771,1.1497211286146582,508.08677228734757,12.956541623098525
26,10,3,3,0.1,1,4,10,0.2595528830337222,16.90591815581968,1.2046375455430423,6.948657105804425,0.7003174735108973
27,10,3,3,0.1,1,4,20,0.08202123403755836,23.34532347601072,1.132891860723219,9.365786120523023,0.778394153844076
28,10,3,3,0.1,1,4,40,0.20924604368849492,12.61989911386712,0.7614531764933999,4.450490500583016,0.7206190579262225
29,10,3,3,0.1,1,4,80,0.015220462729016513,27.533769900719403,1.1394113240555115,6.6309046479890075,0.7014643661470379
30,10,3,3,0.1,1,5,1,0.1686827892022366,25.447037728342707,1.3031002029153316,166.92251621915895,9.25995311592158
31,10,3,3,0.1,1,5,5,0.2863139690001828,15.901565520202057,1.2319219839048658,7.180621601617346,0.7358599177332372
32,10,3,3,0.1,1,5,10,0.01589525992796758,22.836628765883116,1.3152248720257715,9.87011023469048,0.6535760552744216
33,10,3,3,0.1,1,5,20,0.015562978422456618,9.374457876770958,0.7287785450944179,4.909197214680907,0.7724689528060423
34,10,3,3,0.1,1,5,40,0.023747010564558354,13.807033368076203,0.8380472852083666,6.719174006059345,0.5164164786669296
35,10,3,3,0.1,1,5,80,0.15794353326882996,21.617306672407466,1.1329263691724645,8.079928451274727,0.7712795959664964
36,10,3,3,0.1,1,6,1,0.10541487522343405,9.838192473642131,0.30034197448434957,3.536633929317029,0.7863924200680067
37,10,3,3,0.1,1,6,5,0.17810291691551178,16.044027148755937,0.9068876627073187,6.23552089102223,0.6713205059246268
38,10,3,3,0.1,1,6,10,0.0683678805094011,24.089828623271,0.899398020111925,6.942736900427557,0.5969578377356595
39,10,3,3,0.1,1,6,20,0.5510689502001064,17.449996343383244,1.1454596720202137,6.249035303614058,0.6365777051620068
40,10,3,3,0.1,1,6,40,0.10945512539807879,17.400500470934904,1.234287995833785,3.322531794285482,0.8997918443835554
41,10,3,3,0.1,1,6,80,0.022599761937032576,17.245848165671703,0.9556665973713457,6.331992354945451,0.7889997048290922
42,10,3,3,0.1,1,7,1,0.4782135795039723,15.156289109445826,1.3626731935144265,93.0363659868144,4.978940392018104
43,10,3,3,0.1,1,7,5,0.10674139737298252,16.29325596265373,0.7439601908839109,6.248267294818832,0.7230698252821696
44,10,3,3,0.1,1,7,10,0.045566300442435745,18.57948325224611,0.6122137580574057,13.037406860825458,0.25221128515017116
45,10,3,3,0.1,1,7,20,0.10180099551070543,20.38432758091414,0.8308472209125379,6.097110892340459,0.6427158181855683
46,10,3,3,0.1,1,7,40,0.008926760274008606,14.015660340164393,1.017948610323663,4.255231663831291,0.7083073191674841
47,10,3,3,0.1,1,7,80,0.13670592114718275,26.126931677360968,1.1181658081828016,6.308382134062238,0.6280709818161103
48,10,3,3,0.1,1,8,1,0.027946422736720683,28.35576626511113,0.8456534205308307,120.79669325838894,5.489780579162742
49,10,3,3,0.1,1,8,5,0.10391973705626126,25.85142203831608,1.2372515258116983,10.183661324962761,0.6128350796362968
50,10,3,3,0.1,1,8,10,0.26163115616967847,17.213027174325244,1.3518432665099371,8.387972574020521,0.7061943913823798
51,10,3,3,0.1,1,8,20,0.09725955407313491,27.512654871985543,1.3086008783857364,10.937957175044817,0.7433367812295332
52,10,3,3,0.1,1,8,40,0.18047992392813486,14.671218870307111,1.0428194173748726,4.927570898148151,0.7878165065392124
53,10,3,3,0.1,1,8,80,0.22726770711684938,18.923951689754936,1.1430653640288055,10.246978321003716,0.6659450934382233
54,10,3,3,0.1,1,9,1,0.0009941143039905727,29.482046133583005,0.9599596421212557,191.34439256657348,6.529437969588633
55,10,3,3,0.1,1,9,5,0.06714141079865625,19.853579710798403,1.146925395689926,16.513735985486356,1.019531300262961
56,10,3,3,0.1,1,9,10,0.0204394395061533,19.55764017819277,1.2476708111973744,6.592860081239574,0.8019048926797705
57,10,3,3,0.1,1,9,20,0.00820707920604548,25.274182400603912,1.3088648844155368,7.055487741000956,0.8299391363876016
58,10,3,3,0.1,1,9,40,0.5512946141917554,18.585065344721457,1.2971042981963268,9.131226260116085,0.4988426296530619
59,10,3,3,0.1,1,9,80,0.04070131279797235,21.161580158134164,1.6303820451825175,11.654723759964162,0.7467073127506569
60,10,3,3,0.1,3,0,1,0.16566363306003948,33.87811107699026,0.3438611380556729,24.93110620067712,2.0236242563538296
61,10,3,3,0.1,3,0,5,0.14793033223716656,12.604299812405062,0.14022898607069076,8.571770595603173,0.0684555297557751
62,10,3,3,0.1,3,0,10,0.13078610575118346,20.35688189499324,0.13511982403926776,13.910604311409928,0.05108571690071881
63,10,3,3,0.1,3,0,20,0.7637954029862569,21.198260706781085,0.7397699741752095,13.103872607781968,0.10522963030849394
64,10,3,3,0.1,3,0,40,0.11192313615491246,33.42962306922855,0.11030115897048681,21.44125690079445,0.0187783164344784
65,10,3,3,0.1,3,0,80,0.07144407639995208,24.654033352718486,0.07444332515190968,16.306243974266494,0.018488549503125826
66,10,3,3,0.1,3,1,1,0.10532973561178507,11.353189171878826,0.12155776658781098,3.8515234824105367,1.249499534529436
